Model Name,MSRP,Build URL,Image URL,MPG
Hybrid LE,"$31,900",https://www.toyota.com/configurator/build/step/model/year/2025/series/rav4hybrid/model/4435/?bap_guid=e27d14da-4597-4f28-940a-17eb241f3502,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/rav4hybrid/4435/524/6c5bccc4f5e85796385d7e4d64b32aee08df8f7d3ca181938d31995a08f8f023.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",41/38
Hybrid XLE,"$33,410",https://www.toyota.com/configurator/build/step/model/year/2025/series/rav4hybrid/model/4444/?bap_guid=e27d14da-4597-4f28-940a-17eb241f3502,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/rav4hybrid/4444/24/5a2940e02475b23488a150b6473ae17af37497d90b01b17055e9c6823c1ab722.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",41/38
Hybrid SE,"$34,595",https://www.toyota.com/configurator/build/step/model/year/2025/series/rav4hybrid/model/4524/?bap_guid=e27d14da-4597-4f28-940a-17eb241f3502,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/rav4hybrid/4524/786/539d54ca39740fc8ba7eb50a8aa031fa0fa61357c74cb980b15119a7db00ac78.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",41/38
Hybrid Woodland Edition,"$35,120",https://www.toyota.com/configurator/build/step/model/year/2025/series/rav4hybrid/model/4437/?bap_guid=e27d14da-4597-4f28-940a-17eb241f3502,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/rav4hybrid/4437/111/8c85256f1b7370842b968c13f260497f22e272275fb2be5e2143ce007fc74eb5.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",38/35
Hybrid XLE Premium,"$36,300",https://www.toyota.com/configurator/build/step/model/year/2025/series/rav4hybrid/model/4528/?bap_guid=e27d14da-4597-4f28-940a-17eb241f3502,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/rav4hybrid/4528/202/37cbec620a0a967ac02fa70fa2fe58e6cbaaf824ae138659f63fa5a7300d1a67.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",41/38
Hybrid XSE,"$37,560",https://www.toyota.com/configurator/build/step/model/year/2025/series/rav4hybrid/model/4530/?bap_guid=e27d14da-4597-4f28-940a-17eb241f3502,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/rav4hybrid/4530/661/67e0b125a1bb6d78f2382c99234dfa206a29c327438dde0ccc5048c35c17c00f.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",41/38
Hybrid Limited,"$40,205",https://www.toyota.com/configurator/build/step/model/year/2025/series/rav4hybrid/model/4534/?bap_guid=e27d14da-4597-4f28-940a-17eb241f3502,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/rav4hybrid/4534/742/5e1c9dee132422b39d1ec68d1ac6c1b39651446fc7e8741848337b013429264b.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",41/38
