Model Name,MSRP,Build URL,Image URL,MPG
SR5,"$62,425",https://www.toyota.com/configurator/build/step/model/year/2025/series/sequoia/model/7946/?bap_guid=559ebdf9-a33f-49ed-87eb-9f50a34c4d16,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/sequoia/7946/422/ad573086464f5c481148261a0beda994a52c1964b090f1fc40a9c51b6caedc95.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",21/24
Limited,"$68,825",https://www.toyota.com/configurator/build/step/model/year/2025/series/sequoia/model/7948/?bap_guid=559ebdf9-a33f-49ed-87eb-9f50a34c4d16,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/sequoia/7948/612/270ca7043f92300aab326f01dc76172ac79ad9b0b7182a2f4e4b70707b99f6cf.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",21/24
Platinum,"$79,570",https://www.toyota.com/configurator/build/step/model/year/2025/series/sequoia/model/7951/?bap_guid=559ebdf9-a33f-49ed-87eb-9f50a34c4d16,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/sequoia/7951/114/5c66d52a90cae8c72458545f6965016d1b1b5ac3b87b7ee29859f5f62ea6ef9d.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",19/22
TRD Pro,"$80,295",https://www.toyota.com/configurator/build/step/model/year/2025/series/sequoia/model/7953/?bap_guid=559ebdf9-a33f-49ed-87eb-9f50a34c4d16,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/sequoia/7953/158/93db754647699f00f9d2ad73e39a37bb33a97fb25620c51b750023f940bed885.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",19/22
1794 Edition,"$80,385",https://www.toyota.com/configurator/build/step/model/year/2025/series/sequoia/model/7957/?bap_guid=559ebdf9-a33f-49ed-87eb-9f50a34c4d16,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/sequoia/7957/968/2ef3aef04e5f5d1e37aad4a9c0779be01f6a7ee68b8c6f154321f2551e2b3277.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",19/22
Capstone,"$83,915",https://www.toyota.com/configurator/build/step/model/year/2025/series/sequoia/model/7955/?bap_guid=559ebdf9-a33f-49ed-87eb-9f50a34c4d16,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/sequoia/7955/478/6862a9de9e5170d1836e66fb6679b9c3609f15efb8c172d39903bed4b64bd1b4.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",19/22
