Model,Category,Name,Price/Details,Image URL
SR,Exterior,Ice Cap,Included,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2024/tacoma/7162/321/662b2419c250bccfc4dffec7b140c5702f2ded1400d4935bc54b0c62d7175cb8.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
SR,Exterior,Underground,Included,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2024/tacoma/7162/174/5a68907e4c8ada56a9b3ed471568be34ef3907f027bb9d21dd0191f20dd19342.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
SR,Exterior,Celestial Silver Metallic,Included,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2024/tacoma/7162/82/3382b91a1ebf43868e116996434e9c98cc3bfe802b40a3a23d951a05d515856d.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
SR,Exterior,Black,Included,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2024/tacoma/7162/186/a151a7f2a7e9ce064ae2b19f6d1f437f0fc1a6cba2884c5cbf19a43204f89a7f.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
SR,Exterior,Supersonic Red *,$425,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2024/tacoma/7162/993/38de2a99af94821f4432aabc84b0e9ba4222c5eac37b2b1e69364bd56ab40f12.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
SR,Interior,Black Fabric,Included,N/A
SR,Engine,i-FORCE 2.4L 4-Cyl. Turbo Engine,Included,N/A
SR,Transmission,8-Speed Automatic Transmission,Included,N/A
SR,Drivetrain,Rear-Wheel Drive,Included,N/A
SR,Drivetrain,4-Wheel Drive,"$3,200 MSRP",N/A
SR5,Exterior,Ice Cap,Included,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2024/tacoma/7126/354/fd432e124d0555dab2e91e00f232cae7bd33f92266a4ee755cd2da1829e48611.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
SR5,Exterior,Underground,Included,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2024/tacoma/7126/982/d7779b4e7f37122231138a284621717d863a304645ddd9e86fefa0eac5bab4f7.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
SR5,Exterior,Celestial Silver Metallic,Included,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2024/tacoma/7126/99/04586da3ada51dcb061737be07a96c29d7815a7b4a88d5a204e1abf98e736a17.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
SR5,Exterior,Black,Included,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2024/tacoma/7126/14/7fa032163459294c1a2ccdbfecdff085239144f72696420c01407daab155e3ec.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
SR5,Exterior,Supersonic Red *,$425,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2024/tacoma/7126/610/153289ca6bd1c4ad19ae8b9460f4012361a77cbba1ec2f0072576a5053b1e6bd.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
SR5,Exterior,Blue Crush Metallic,Included,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2024/tacoma/7126/610/153289ca6bd1c4ad19ae8b9460f4012361a77cbba1ec2f0072576a5053b1e6bd.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
SR5,Interior,Black Fabric w/Smoke Silver,Included,N/A
SR5,Interior,Boulder Fabric,Included,N/A
SR5,Interior,Black Fabric,Included,N/A
SR5,Engine,,Included,N/A
SR5,Transmission,,Included,N/A
SR5,Drivetrain,,Included,N/A
SR5,Drivetrain,,,N/A
TRD PreRunner,Exterior,Solar Octane *,$425,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2024/tacoma/7166/702/18f79106aa9c3ed37245f13be99df532e7e8b133518d66d28517fd9d57b597a3.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
TRD PreRunner,Exterior,Ice Cap,Included,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2024/tacoma/7166/852/f5c3190caa59c513abd741b15f82342e4616391ae79505756127902a9e40c2ae.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
TRD PreRunner,Exterior,Underground,Included,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2024/tacoma/7166/702/18f79106aa9c3ed37245f13be99df532e7e8b133518d66d28517fd9d57b597a3.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
TRD PreRunner,Exterior,Celestial Silver Metallic,Included,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2024/tacoma/7166/324/26bd64d44e6ea75f6a90b9196a2b7cc1528d9233c98015e18a865804b0ee5612.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
TRD PreRunner,Exterior,Black,Included,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2024/tacoma/7166/455/7d222fc7b36da52746537890393fc22e6911be737199a1e59ca68c6e620a8340.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
TRD PreRunner,Exterior,Supersonic Red *,$425,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2024/tacoma/7166/455/7d222fc7b36da52746537890393fc22e6911be737199a1e59ca68c6e620a8340.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
TRD PreRunner,Interior,Boulder/Black Fabric w/Anodized Blue,Included,N/A
TRD PreRunner,Interior,Boulder/Black Fabric w/Smoke Silver,Included,N/A
TRD PreRunner,Engine,i-FORCE 2.4L 4-Cyl. Turbo Engine,Included,N/A
TRD PreRunner,Transmission,8-Speed Automatic Transmission,Included,N/A
TRD PreRunner,Drivetrain,Rear-Wheel Drive,Included,N/A
