Model Name,MSRP,Build URL,Image URL,MPG
SR,"$31,500",https://www.toyota.com/configurator/build/step/model/year/2024/series/tacoma/model/7162/?bap_guid=d14d643d-0efe-48b8-9db5-b3f33da5efca,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2024/tacoma/7162/321/662b2419c250bccfc4dffec7b140c5702f2ded1400d4935bc54b0c62d7175cb8.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",20/26
SR5,"$36,200",https://www.toyota.com/configurator/build/step/model/year/2024/series/tacoma/model/7126/?bap_guid=d14d643d-0efe-48b8-9db5-b3f33da5efca,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2024/tacoma/7126/99/04586da3ada51dcb061737be07a96c29d7815a7b4a88d5a204e1abf98e736a17.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",21/26
TRD PreRunner,"$38,100",https://www.toyota.com/configurator/build/step/model/year/2024/series/tacoma/model/7166/?bap_guid=d14d643d-0efe-48b8-9db5-b3f33da5efca,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2024/tacoma/7166/702/18f79106aa9c3ed37245f13be99df532e7e8b133518d66d28517fd9d57b597a3.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",20/24
TRD Sport,"$39,400",https://www.toyota.com/configurator/build/step/model/year/2024/series/tacoma/model/7148/?bap_guid=d14d643d-0efe-48b8-9db5-b3f33da5efca,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2024/tacoma/7148/86/33b7de965677b36ba991cfe9122d3bf0a5f3f1e44e95aa2031740c383ce74bc4.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",20/24
TRD Off-Road,"$41,800",https://www.toyota.com/configurator/build/step/model/year/2024/series/tacoma/model/7544/?bap_guid=d14d643d-0efe-48b8-9db5-b3f33da5efca,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2024/tacoma/7545/234/90d1277adc7ac3de752a7d9d9be8e9be3528e2c451f265711134a66ed78d7196.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",18/23
TRD Sport i-FORCE MAX,"$46,300",https://www.toyota.com/configurator/build/step/model/year/2024/series/tacoma/model/7530/?bap_guid=d14d643d-0efe-48b8-9db5-b3f33da5efca,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2024/tacoma/7530/952/a3e51770271ea493de571e3e04f5739703aabdb0dd6294a57db2d576ce51ed70.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",22/24
TRD Off-Road i-FORCE MAX,"$46,600",https://www.toyota.com/configurator/build/step/model/year/2024/series/tacoma/model/7532/?bap_guid=d14d643d-0efe-48b8-9db5-b3f33da5efca,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2024/tacoma/7532/643/bdab8573db5e8171cdb08d783bfc5dba5655e134c4226cdceab74f8b506ead24.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",22/24
Limited,"$52,100",https://www.toyota.com/configurator/build/step/model/year/2024/series/tacoma/model/7582/?bap_guid=d14d643d-0efe-48b8-9db5-b3f33da5efca,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2024/tacoma/7582/322/1781bc52dbbfa86a432f7caf205c347047e8ddafe5448e6b3e610ba5f528d1b3.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",20/23
Limited i-FORCE MAX,"$55,800",https://www.toyota.com/configurator/build/step/model/year/2024/series/tacoma/model/7534/?bap_guid=d14d643d-0efe-48b8-9db5-b3f33da5efca,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2024/tacoma/7534/590/f95c406eaeebb050e97f8ed05498a5ef1416528925a15844875628955a2f1c53.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",23/24
Trailhunter,"$62,900",https://www.toyota.com/configurator/build/step/model/year/2024/series/tacoma/model/7536/?bap_guid=d14d643d-0efe-48b8-9db5-b3f33da5efca,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2024/tacoma/7536/208/1defc2b031f70dc948def777bf2570832d092804d426539b4eb5c0a181a2ed31.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",22/24
TRD Pro,"$63,900",https://www.toyota.com/configurator/build/step/model/year/2024/series/tacoma/model/7598/?bap_guid=d14d643d-0efe-48b8-9db5-b3f33da5efca,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2024/tacoma/7598/450/c46e180aa611abb0ab9073df438e2e0e3c113e8da0a93554f96a36424e53b9f3.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",22/24
