Model Name,MSRP,Build URL,Image URL,MPG
SE,"$33,375",https://www.toyota.com/configurator/build/step/model/year/2025/series/priuspluginhybrid/model/1235/?bap_guid=cd1e87fa-2925-43e8-a9f1-af34c5f9ba3e,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/priuspluginhybrid/1235/163/f8814bfb20a7685535898e1277f429e5647652c4529a2d9134e1f22bdf254769.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",52/127
XSE,"$36,625",https://www.toyota.com/configurator/build/step/model/year/2025/series/priuspluginhybrid/model/1237/?bap_guid=cd1e87fa-2925-43e8-a9f1-af34c5f9ba3e,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/priuspluginhybrid/1237/955/d0810373dc2a3d4e8bdc74342e3ff9b6aaf2cc07348ca61e54fdf27bc0e0af01.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",48/114
XSE Premium,"$40,070",https://www.toyota.com/configurator/build/step/model/year/2025/series/priuspluginhybrid/model/1239/?bap_guid=cd1e87fa-2925-43e8-a9f1-af34c5f9ba3e,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/priuspluginhybrid/1239/351/e121756f814812d845d96502e56297f2e02fbd819ebaf5e2f9c09e8fd870c83d.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",48/114
