Model Name,MSRP,Build URL,Image URL,MPG
Hybrid LE,"$23,825",https://www.toyota.com/configurator/build/step/model/year/2025/series/corollahybrid/model/1882/?bap_guid=12dd81d1-6402-48fc-b44a-678454ececcb,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/corollahybrid/1882/463/3460744fdb4ef2faeefd56e55bb0769a91813eb2aaff5e5439cb409a9a0a1e96.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",53/46
Hybrid SE,"$26,265",https://www.toyota.com/configurator/build/step/model/year/2025/series/corollahybrid/model/1886/?bap_guid=12dd81d1-6402-48fc-b44a-678454ececcb,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/corollahybrid/1886/768/7d215e107ce6b278010c9e01e9f51f1aa53a30768fbf2805a48821c5f748f454.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",50/43
Hybrid XLE,"$28,190",https://www.toyota.com/configurator/build/step/model/year/2025/series/corollahybrid/model/1892/?bap_guid=12dd81d1-6402-48fc-b44a-678454ececcb,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/corollahybrid/1892/763/66ab17bbad67a203a22d94a41e41db735eb12f06a34fca06c584bf41a5b486e8.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",53/46
