Model Name,MSRP,Build URL,Image URL,MPG
SE,"$32,975",https://www.toyota.com/configurator/build/step/model/year/2024/series/priusprime/model/1235/?bap_guid=966f9e6e-1ab3-4ccd-be41-60f33bcb407f,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2024/priusprime/1235/777/64fad7891e9aa6e827febfa47d307e9649a5b13f0433e1d666a4f6d06c7d7228.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",52/127
XSE,"$36,225",https://www.toyota.com/configurator/build/step/model/year/2024/series/priusprime/model/1237/?bap_guid=966f9e6e-1ab3-4ccd-be41-60f33bcb407f,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2024/priusprime/1237/851/a89a7543aa6f9037f6589ffd34489571e475cbead061d6b1eb24b3c23737be06.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",48/114
XSE Premium,"$39,670",https://www.toyota.com/configurator/build/step/model/year/2024/series/priusprime/model/1239/?bap_guid=966f9e6e-1ab3-4ccd-be41-60f33bcb407f,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2024/priusprime/1239/280/bb4b2da87708b9161296df97a6d5548643e737a1090895997593548e4fbd081d.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",48/114
