Model Name,MSRP,Build URL,Image URL,MPG
Land Cruiser 1958,"$55,950",https://www.toyota.com/configurator/build/step/model/year/2024/series/landcruiser/model/6165/?bap_guid=d8f43686-8bbb-4d05-8da7-5346c20f13ec,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2024/landcruiser/6165/391/dfab8ed73ddd9e0eb45d1d60b1a0add5a31c22bc7895c0c45c5a19b9c62fcb8b.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",22/25
Land Cruiser,"$61,950",https://www.toyota.com/configurator/build/step/model/year/2024/series/landcruiser/model/6167/?bap_guid=d8f43686-8bbb-4d05-8da7-5346c20f13ec,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2024/landcruiser/6167/528/123e3460bf9d42b5ce8d2a88f18cb8da74691534e15284cc5605db7c0f9705b2.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",22/25
First Edition,"$74,950",https://www.toyota.com/configurator/build/step/model/year/2024/series/landcruiser/model/6168/?bap_guid=d8f43686-8bbb-4d05-8da7-5346c20f13ec,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2024/landcruiser/6168/948/2dd33f042f1fa8fcc0607082b22bed4d0e93851b49695a6d59f19957f0bff4c6.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",22/25
