Model Name,MSRP,Build URL,Image URL,MPG
XLE,"$41,440",https://www.toyota.com/configurator/build/step/model/year/2025/series/toyotacrown/model/4015/?bap_guid=363d7a58-ade1-4331-aa85-b4ee15d4e4a3,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/toyotacrown/4015/308/53940bec703423a1f8e8d9a21a24d0c70a42770da05d190f2ea8b5d4762e235f.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",42/41
Limited,"$45,950",https://www.toyota.com/configurator/build/step/model/year/2025/series/toyotacrown/model/4020/?bap_guid=363d7a58-ade1-4331-aa85-b4ee15d4e4a3,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/toyotacrown/4020/101/5b08662d0aaa640c918a462414f768d112e1fea15e63a6a29b429ad7dbf8c29a.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",42/41
Nightshade,"$48,765",https://www.toyota.com/configurator/build/step/model/year/2025/series/toyotacrown/model/4025/?bap_guid=363d7a58-ade1-4331-aa85-b4ee15d4e4a3,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/toyotacrown/4025/462/5d3aeb7ee79de51a5ba5623673806c3a04c704ae6ed0627691594f6c9567563c.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",42/41
Platinum,"$54,990",https://www.toyota.com/configurator/build/step/model/year/2025/series/toyotacrown/model/4030/?bap_guid=363d7a58-ade1-4331-aa85-b4ee15d4e4a3,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/toyotacrown/4030/146/a719c5f265e42a4177c96f8d5ced2a9e001d588aafa28806ebb8636ef8ded16b.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",29/32
