Model Name,MSRP,Build URL,Image URL,MPG
XLE,"$43,320",https://www.toyota.com/configurator/build/step/model/year/2024/series/grandhighlander/model/6702/?bap_guid=e0f99625-3dca-4100-bce2-477c44fb5a8d,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2024/grandhighlander/6702/651/99b2bc43e81dd9161da7c08db940e820c2c4414e44cb533effaea3f721659ac8.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",21/28
Hybrid XLE,"$45,020",https://www.toyota.com/configurator/build/step/model/year/2024/series/grandhighlander/model/6716/?bap_guid=e0f99625-3dca-4100-bce2-477c44fb5a8d,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2024/grandhighlander/6716/878/667984c6bc62dc1568a004a4fef65bb9f85ee7752d453521c99eb570b10e4db9.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",37/34
Limited,"$48,110",https://www.toyota.com/configurator/build/step/model/year/2024/series/grandhighlander/model/6704/?bap_guid=e0f99625-3dca-4100-bce2-477c44fb5a8d,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2024/grandhighlander/6704/436/7d895dc4e48027f16a571c09f1a0d9aa84883469dca7857cd163bf0db23eadf3.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",21/28
Hybrid Limited,"$51,410",https://www.toyota.com/configurator/build/step/model/year/2024/series/grandhighlander/model/6724/?bap_guid=e0f99625-3dca-4100-bce2-477c44fb5a8d,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2024/grandhighlander/6724/433/2a6b32d1c89a89728931144a86221242dffad27602ac1bccf8eab477f321af01.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",36/32
Platinum,"$53,795",https://www.toyota.com/configurator/build/step/model/year/2024/series/grandhighlander/model/6712/?bap_guid=e0f99625-3dca-4100-bce2-477c44fb5a8d,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2024/grandhighlander/6712/6/2636edb694a5d1d8715035b1654166daab1b788321e4a1967125cb78ea8cb02b.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",20/26
Hybrid MAX Limited,"$54,390",https://www.toyota.com/configurator/build/step/model/year/2024/series/grandhighlander/model/6730/?bap_guid=e0f99625-3dca-4100-bce2-477c44fb5a8d,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2024/grandhighlander/6730/973/dc62af7d97d8cc6ed62e1480912dff54adc83189db1dba25245857436c7c1aeb.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",26/27
Hybrid MAX Platinum,"$58,475",https://www.toyota.com/configurator/build/step/model/year/2024/series/grandhighlander/model/6732/?bap_guid=e0f99625-3dca-4100-bce2-477c44fb5a8d,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2024/grandhighlander/6732/828/f00f03b45aea24ad5b61d4cd17edfac6576ad316694a6f38a2994589dd7efb6e.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",26/27
