Model Name,MSRP,Build URL,Image URL,MPG
LE,"$27,950",https://www.toyota.com/configurator/build/step/model/year/2024/series/prius/model/1223/?bap_guid=ad6ffa50-caa0-4fd7-b8ca-72c8ec6b65d5,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2024/prius/1223/986/2431f1fa6a2bd15d4507c58ab79ccc814b16dde61d0f308b20c498a5a503d58e.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",57/56
LE AWD,"$29,350",https://www.toyota.com/configurator/build/step/model/year/2024/series/prius/model/1263/?bap_guid=ad6ffa50-caa0-4fd7-b8ca-72c8ec6b65d5,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2024/prius/1263/961/1aca61f1398aceb676bed219dd8f13325a40fb4f9549d6bb93c50541cf1c7749.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",53/54
XLE,"$31,395",https://www.toyota.com/configurator/build/step/model/year/2024/series/prius/model/1225/?bap_guid=ad6ffa50-caa0-4fd7-b8ca-72c8ec6b65d5,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2024/prius/1225/91/dcb0df93b85f7002fd42b33785f18837042ce1d33c97e577b1e37c19b69a8c36.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",52/52
XLE AWD,"$32,795",https://www.toyota.com/configurator/build/step/model/year/2024/series/prius/model/1265/?bap_guid=ad6ffa50-caa0-4fd7-b8ca-72c8ec6b65d5,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2024/prius/1265/372/5dc9775475de1bf70cde527c153cd6b1e108fafceb717e2d354c5ea953ceb856.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",49/50
Limited,"$34,965",https://www.toyota.com/configurator/build/step/model/year/2024/series/prius/model/1227/?bap_guid=ad6ffa50-caa0-4fd7-b8ca-72c8ec6b65d5,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2024/prius/1227/81/1f954471c9b95fc9a6fd8e61fbf050517d6323a7104fcecc184b85a96e3e39f8.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",52/52
Limited AWD,"$36,365",https://www.toyota.com/configurator/build/step/model/year/2024/series/prius/model/1268/?bap_guid=ad6ffa50-caa0-4fd7-b8ca-72c8ec6b65d5,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2024/prius/1268/209/04ff25c18de0c70d22a7e450bc2ee571dd525df66612a3dfb67177ee99f31e25.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",49/50
