Model Name,MSRP,Build URL,Image URL,MPG
Hybrid XLE,"$46,020",https://www.toyota.com/configurator/build/step/model/year/2025/series/highlanderhybrid/model/6965/?bap_guid=ff51e7a0-e5a6-4c52-9a22-a1abe2981bdb,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/highlanderhybrid/6965/769/341c2d09e4be2d6336158984c08aeab7864078b9be307d45e87aad133b41c359.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",35/35
Hybrid XLE Nightshade,"$47,020",https://www.toyota.com/configurator/build/step/model/year/2025/series/highlanderhybrid/model/6989/?bap_guid=ff51e7a0-e5a6-4c52-9a22-a1abe2981bdb,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/highlanderhybrid/6989/359/962951f751134e5ccfdd53f950f118b85400431fbcb12db6dcd3be6707435d00.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",35/35
Hybrid Limited,"$50,475",https://www.toyota.com/configurator/build/step/model/year/2025/series/highlanderhybrid/model/6966/?bap_guid=ff51e7a0-e5a6-4c52-9a22-a1abe2981bdb,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/highlanderhybrid/6966/475/8a6f9ceb5ffdae2091decec06da5f9151b27ce9ef5e82ee8af2c66da6a466c89.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",35/34
Hybrid Limited 25th Edition,"$52,680",https://www.toyota.com/configurator/build/step/model/year/2025/series/highlanderhybrid/model/6982/?bap_guid=ff51e7a0-e5a6-4c52-9a22-a1abe2981bdb,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/highlanderhybrid/6982/134/8c7afbf638a77b0ae476208ae1eadabb0f5864795c4e8299ae9ca280ec09287f.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",35/34
Hybrid Platinum,"$53,675",https://www.toyota.com/configurator/build/step/model/year/2025/series/highlanderhybrid/model/6967/?bap_guid=ff51e7a0-e5a6-4c52-9a22-a1abe2981bdb,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/highlanderhybrid/6967/709/785fce8528ef619807bc3f35ed0632d10c06674c1b660eaae7ac8c86f6c143f6.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",35/34
