Model Name,MSRP,Build URL,Image URL,MPG
Limited i-FORCE MAX,"$58,005",https://www.toyota.com/configurator/build/step/model/year/2025/series/tundrahybrid/model/8401/?bap_guid=51c362c0-ee18-4db2-a21b-9025730dc833,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/tundrahybrid/8401/562/ec667caade43e10bbfdf60b6df4b99945e0d858a148f6e137d68f3e3d57b4466.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",20/24
Platinum i-FORCE MAX,"$67,585",https://www.toyota.com/configurator/build/step/model/year/2025/series/tundrahybrid/model/8402/?bap_guid=51c362c0-ee18-4db2-a21b-9025730dc833,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/tundrahybrid/8402/685/673867357fa8e0902bc31e0e8928919cbb2bd35dfd47f205637dfae1b7af93c0.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",20/24
1794 Edition i-FORCE MAX,"$68,285",https://www.toyota.com/configurator/build/step/model/year/2025/series/tundrahybrid/model/8403/?bap_guid=51c362c0-ee18-4db2-a21b-9025730dc833,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/tundrahybrid/8403/954/2b9a9102bcc61194cfb677fdf3ccbb23608e5c43255b300b9e79cf3c386c6346.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",20/24
TRD Pro,"$72,510",https://www.toyota.com/configurator/build/step/model/year/2025/series/tundrahybrid/model/8424/?bap_guid=51c362c0-ee18-4db2-a21b-9025730dc833,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/tundrahybrid/8424/33/421c78315baebe87c1e239f2c4afaae6790a39078b47a19124313035d38a9ca7.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",18/20
Capstone,"$80,725",https://www.toyota.com/configurator/build/step/model/year/2025/series/tundrahybrid/model/8425/?bap_guid=51c362c0-ee18-4db2-a21b-9025730dc833,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/tundrahybrid/8425/281/210505c1857c5a6c81a7dad22fc648a541e300d38c3107ebf757fc82d68252a3.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",19/22
