Model,Category,Name,Price/Details,Image URL
Limited i-FORCE MAX,Interior,Black SofTex®-trimmed *,Included,N/A
Limited i-FORCE MAX,Interior,Boulder SofTex®-trimmed *,Included,N/A
Limited i-FORCE MAX,Engine,i-FORCE MAX V6 Hybrid Engine,Included,N/A
Limited i-FORCE MAX,Transmission,10-Speed Electronically Controlled automatic Transmission with intelligence (ECT-i) and sequential shift mode,Included,N/A
Limited i-FORCE MAX,Drivetrain,Rear-Wheel Drive,Included,N/A
Limited i-FORCE MAX,Drivetrain,4-Wheel Drive,"$3,000 MSRP",N/A
Limited i-FORCE MAX,Add-On,BSM Tow Mirrors,$290 MSRP,N/A
Limited i-FORCE MAX,Add-On,PVM + BSM Tow Mirrors,$290 MSRP,N/A
Limited i-FORCE MAX,Add-On,Rear Air Suspension,$650 MSRP,N/A
Limited i-FORCE MAX,Add-On,Panoramic Roof,"$1,350 MSRP",N/A
Limited i-FORCE MAX,Add-On,Heated Leather-Wrapped Steering Wheel,$150 MSRP,N/A
Platinum i-FORCE MAX,Exterior,Wind Chill Pearl *,$475,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/tundrahybrid/8402/43/41aef12b0d0062642676c386490f1afc39653535c583bb846081ae14bdb8022d.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
Platinum i-FORCE MAX,Exterior,Magnetic Gray Metallic,Included,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/tundrahybrid/8402/38/c113cfae328ba6e6f078bd80f59cfa72f127ae27a7fdbbbabee23fbf81a024d5.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
Platinum i-FORCE MAX,Exterior,Celestial Silver Metallic,Included,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/tundrahybrid/8402/507/f545ae3bb9a5954ca34624d078a6ad666b5154765736656cba9b52714b8d68aa.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
Platinum i-FORCE MAX,Exterior,Midnight Black Metallic,Included,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/tundrahybrid/8402/685/673867357fa8e0902bc31e0e8928919cbb2bd35dfd47f205637dfae1b7af93c0.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
Platinum i-FORCE MAX,Exterior,Supersonic Red *,$475,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/tundrahybrid/8402/82/cd9decea93208e6e5f5c0c908197812c959c29bfcaaf6a43b6e0b16b49bd7d2a.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
