Model Name,MSRP,Build URL,Image URL,MPG
Hybrid S,"$28,395",https://www.toyota.com/configurator/build/step/model/year/2025/series/corollacrosshybrid/model/6312/?bap_guid=1b42f8da-45f3-4bcb-bdfd-9379067a54e8,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/corollacrosshybrid/6312/827/f6125deb44ac07a803ad502c1f2c7054321f0873c6817819718230b8bc1097e8.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",45/38
Hybrid SE,"$29,715",https://www.toyota.com/configurator/build/step/model/year/2025/series/corollacrosshybrid/model/6314/?bap_guid=1b42f8da-45f3-4bcb-bdfd-9379067a54e8,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/corollacrosshybrid/6314/278/11ee3ea6c2ed4c468040577da00035ad74f992643c3956c4b2ffc488138afa56.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",45/38
Hybrid Nightshade,"$30,640",https://www.toyota.com/configurator/build/step/model/year/2025/series/corollacrosshybrid/model/6315/?bap_guid=1b42f8da-45f3-4bcb-bdfd-9379067a54e8,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/corollacrosshybrid/6315/549/45accce5355770fcc5809d13e04fa89ed7073b445246c65b4a98a6263b69ab8d.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",45/38
Hybrid XSE,"$31,580",https://www.toyota.com/configurator/build/step/model/year/2025/series/corollacrosshybrid/model/6316/?bap_guid=1b42f8da-45f3-4bcb-bdfd-9379067a54e8,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/corollacrosshybrid/6316/303/8c75e7d7ea9efa60a486fa7efe27bc4a87cbbc1f30819fedd533c3d93f30ee8e.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",45/38
