Model,Category,Name,Price/Details,Image URL
Hybrid S,Exterior,Celestite,Included,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/corollacrosshybrid/6312/936/917e3ae8b96de254a82bc89c52e6e53e70c0de726ccb0e8c3b81707660cc946f.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
Hybrid S,Exterior,Wind Chill Pearl *,$475,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/corollacrosshybrid/6312/75/f2162eeb8537ca9c11e8f040234fd427dac3160090467daad97ad62ccc7af860.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
Hybrid S,Exterior,Jet Black,Included,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/corollacrosshybrid/6312/700/57b3c32ca0cebb5321b5df5eab8fd88562c899f716a7689ad611cff47b670630.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
Hybrid S,Exterior,Sonic Silver,Included,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/corollacrosshybrid/6312/827/f6125deb44ac07a803ad502c1f2c7054321f0873c6817819718230b8bc1097e8.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
Hybrid S,Interior,Gray/Black Fabric,Included,N/A
Hybrid S,Engine,2.0L 4-Cyl. Hybrid Engine,Included,N/A
Hybrid S,Transmission,Continuously Variable Transmission with intelligence and Shift Mode (CVTi-S),Included,N/A
Hybrid S,Drivetrain,All-Wheel Drive,Included,N/A
Hybrid SE,Exterior,Soul Red Crystal/Jet Black roof *,$975,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/corollacrosshybrid/6314/278/11ee3ea6c2ed4c468040577da00035ad74f992643c3956c4b2ffc488138afa56.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
Hybrid SE,Exterior,Celestite,Included,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/corollacrosshybrid/6314/872/852b65f0efaf68bd0a69b1f2eacdf514bf3ce011a68f97ab3987f170f233e1a5.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
Hybrid SE,Exterior,Wind Chill Pearl *,$475,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/corollacrosshybrid/6314/728/3228c9206498d5dd98571043e846d72340d444a9cae3501b75c4eabf3716b516.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
Hybrid SE,Exterior,Soul Red Crystal *,$475,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/corollacrosshybrid/6314/728/3228c9206498d5dd98571043e846d72340d444a9cae3501b75c4eabf3716b516.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
Hybrid SE,Exterior,Jet Black,Included,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/corollacrosshybrid/6314/342/aaf9048647af0b1a96f845358c0090418f6fa0b36ec5b92cc48f41f6dc7c37cf.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
Hybrid SE,Exterior,Sonic Silver,Included,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/corollacrosshybrid/6314/84/fd68d5a406ab2ef64133e92c92db734e49b1a01cb04a983bb377829e97be5ab6.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
Hybrid SE,Exterior,Blue Crush Metallic,Included,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/corollacrosshybrid/6314/396/40ca765c2f3e2897a7fed3e8f000980b0f35dd21b4e1c352e71d133cbea1b8ad.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
Hybrid SE,Exterior,Blue Crush Metallic/Jet Black roof *,$500,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/corollacrosshybrid/6314/278/11ee3ea6c2ed4c468040577da00035ad74f992643c3956c4b2ffc488138afa56.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
Hybrid SE,Exterior,Sonic Silver/Jet Black roof *,$500,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/corollacrosshybrid/6314/690/b0c3374af56fc6dcf9400f4868e82a594b7d78b0eea7fb3dcd0016ee07fe3098.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
Hybrid SE,Interior,Black/Blue Fabric,Included,N/A
Hybrid SE,Interior,Gray/Black Fabric,Included,N/A
Hybrid SE,Engine,2.0L 4-Cyl. Hybrid Engine,Included,N/A
Hybrid SE,Transmission,Continuously Variable Transmission with intelligence and Shift Mode (CVTi-S),Included,N/A
Hybrid SE,Drivetrain,All-Wheel Drive,Included,N/A
Hybrid SE,Add-On,JBL® Premium Audio,$800 MSRP,N/A
