Model Name,MSRP,Build URL,Image URL,MPG
XLE,"$37,070",https://www.toyota.com/configurator/build/step/model/year/2025/series/bz4x/model/2870/?bap_guid=39af12b4-0357-4c3d-bb8b-dd284bc5f5c5,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/bz4x/2870/741/3bcf561d82983e54f9d3a0b71e11b388a35901373c94d0b528b754e97b10a950.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",252
Nightshade,"$40,420",https://www.toyota.com/configurator/build/step/model/year/2025/series/bz4x/model/2884/?bap_guid=39af12b4-0357-4c3d-bb8b-dd284bc5f5c5,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/bz4x/2884/773/a442d6bdbd7944339232795fbc327082bc0a6c533093245af732e6fb30a26be1.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",222
Limited,"$41,800",https://www.toyota.com/configurator/build/step/model/year/2025/series/bz4x/model/2880/?bap_guid=39af12b4-0357-4c3d-bb8b-dd284bc5f5c5,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/bz4x/2880/286/a5576986ec674c02b0fd3c377f788aeb53191f771e97c34db35cfe5cd0522507.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",236
