Model Name,MSRP,Build URL,Image URL,MPG
Hybrid XLE,"$45,380",https://www.toyota.com/configurator/build/step/model/year/2025/series/grandhighlanderhybrid/model/6716/?srchid=SEM%3A700000001483657%3AMICROSOFT%3A71700000112709583%3A58700008485496776%3Ap77316727437%3A&gclid=e69f1664fbdd1327491e71f5a3572a73&gclsrc=3p.ds&msclkid=e69f1664fbdd1327491e71f5a3572a73&utm_source=bing&utm_medium=cpc&utm_campaign=Model_Grand_Highlander_Hybrid_T1&utm_term=toyota+grand+highlander+hybrid+build&utm_content=Model_Grand_Highlander_Hybrid_Build+&+Price_Phrase=&gclid=e69f1664fbdd1327491e71f5a3572a73&gclsrc=3p.ds&bap_guid=cef15091-0882-48a9-814f-dc664e245a36,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/grandhighlanderhybrid/6716/330/9ac5b58ab6010fb349f65d7a5916ccbdb357689834d6be3efe0ea8923f97fe27.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",37/34
Hybrid Limited,"$51,710",https://www.toyota.com/configurator/build/step/model/year/2025/series/grandhighlanderhybrid/model/6724/?srchid=SEM%3A700000001483657%3AMICROSOFT%3A71700000112709583%3A58700008485496776%3Ap77316727437%3A&gclid=e69f1664fbdd1327491e71f5a3572a73&gclsrc=3p.ds&msclkid=e69f1664fbdd1327491e71f5a3572a73&utm_source=bing&utm_medium=cpc&utm_campaign=Model_Grand_Highlander_Hybrid_T1&utm_term=toyota+grand+highlander+hybrid+build&utm_content=Model_Grand_Highlander_Hybrid_Build+&+Price_Phrase=&gclid=e69f1664fbdd1327491e71f5a3572a73&gclsrc=3p.ds&bap_guid=cef15091-0882-48a9-814f-dc664e245a36,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/grandhighlanderhybrid/6724/419/2558c06b6fc4b042e35af4402fbc3d5c526d96fb861f0ae68566f5d187255e95.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",36/32
Hybrid Nightshade,"$52,610",https://www.toyota.com/configurator/build/step/model/year/2025/series/grandhighlanderhybrid/model/6733/?srchid=SEM%3A700000001483657%3AMICROSOFT%3A71700000112709583%3A58700008485496776%3Ap77316727437%3A&gclid=e69f1664fbdd1327491e71f5a3572a73&gclsrc=3p.ds&msclkid=e69f1664fbdd1327491e71f5a3572a73&utm_source=bing&utm_medium=cpc&utm_campaign=Model_Grand_Highlander_Hybrid_T1&utm_term=toyota+grand+highlander+hybrid+build&utm_content=Model_Grand_Highlander_Hybrid_Build+&+Price_Phrase=&gclid=e69f1664fbdd1327491e71f5a3572a73&gclsrc=3p.ds&bap_guid=cef15091-0882-48a9-814f-dc664e245a36,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/grandhighlanderhybrid/6733/893/f9f8625d9e7b336df633f6430e370bd3010f6c65bf113dae4d6947a564baff9f.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",36/32
Hybrid MAX Limited,"$54,690",https://www.toyota.com/configurator/build/step/model/year/2025/series/grandhighlanderhybrid/model/6730/?srchid=SEM%3A700000001483657%3AMICROSOFT%3A71700000112709583%3A58700008485496776%3Ap77316727437%3A&gclid=e69f1664fbdd1327491e71f5a3572a73&gclsrc=3p.ds&msclkid=e69f1664fbdd1327491e71f5a3572a73&utm_source=bing&utm_medium=cpc&utm_campaign=Model_Grand_Highlander_Hybrid_T1&utm_term=toyota+grand+highlander+hybrid+build&utm_content=Model_Grand_Highlander_Hybrid_Build+&+Price_Phrase=&gclid=e69f1664fbdd1327491e71f5a3572a73&gclsrc=3p.ds&bap_guid=cef15091-0882-48a9-814f-dc664e245a36,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/grandhighlanderhybrid/6730/121/12f68a31c24ec2d1e6a007b50660475207f008570bff1308b7c5894560152a09.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",26/27
Hybrid MAX Platinum,"$58,775",https://www.toyota.com/configurator/build/step/model/year/2025/series/grandhighlanderhybrid/model/6732/?srchid=SEM%3A700000001483657%3AMICROSOFT%3A71700000112709583%3A58700008485496776%3Ap77316727437%3A&gclid=e69f1664fbdd1327491e71f5a3572a73&gclsrc=3p.ds&msclkid=e69f1664fbdd1327491e71f5a3572a73&utm_source=bing&utm_medium=cpc&utm_campaign=Model_Grand_Highlander_Hybrid_T1&utm_term=toyota+grand+highlander+hybrid+build&utm_content=Model_Grand_Highlander_Hybrid_Build+&+Price_Phrase=&gclid=e69f1664fbdd1327491e71f5a3572a73&gclsrc=3p.ds&bap_guid=cef15091-0882-48a9-814f-dc664e245a36,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/grandhighlanderhybrid/6732/0/a5241f807160c0d2399ca19e37b499d5abfd59845896a9c1f4cb4bbbc580df65.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",26/27
