Model Name,MSRP,Build URL,Image URL,MPG
TRD Sport i-FORCE MAX,"$46,300",https://www.toyota.com/configurator/build/step/model/year/2024/series/tacomahybrid/model/7530/?bap_guid=1b8f46e5-7327-45e7-a4d9-99f17834c28a,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2024/tacomahybrid/7530/679/f6634c17a1267e434c936a97df0b59060fa097d47c14aae5c9663a8b4798f968.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",22/24
TRD Off-Road i-FORCE MAX,"$46,600",https://www.toyota.com/configurator/build/step/model/year/2024/series/tacomahybrid/model/7532/?bap_guid=1b8f46e5-7327-45e7-a4d9-99f17834c28a,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2024/tacomahybrid/7532/540/cb103724886580e66adefba282157145ba8e293853f0e0b09917c22c3fa6bf72.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",22/24
Limited i-FORCE MAX,"$55,800",https://www.toyota.com/configurator/build/step/model/year/2024/series/tacomahybrid/model/7534/?bap_guid=1b8f46e5-7327-45e7-a4d9-99f17834c28a,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2024/tacomahybrid/7534/236/e5108d649cd3635fc26383e308540eaccd0790432b339fb6b88fb3d9b944df76.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",23/24
Trailhunter,"$62,900",https://www.toyota.com/configurator/build/step/model/year/2024/series/tacomahybrid/model/7536/?bap_guid=1b8f46e5-7327-45e7-a4d9-99f17834c28a,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2024/tacomahybrid/7536/852/0b2b402ce9770b338851f4946e4ff17a4488d967ea383c4f2bebf1e430262cf4.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",22/24
TRD Pro,"$63,900",https://www.toyota.com/configurator/build/step/model/year/2024/series/tacomahybrid/model/7598/?bap_guid=1b8f46e5-7327-45e7-a4d9-99f17834c28a,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2024/tacomahybrid/7598/829/cdf94a8d190142131c15b0015aef3fbf60c801f469536b9b1ed863b9f233ca43.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",22/24
