Model Name,MSRP,Build URL,Image URL,MPG
LE,"$22,325",https://www.toyota.com/configurator/build/step/model/year/2025/series/corolla/model/1852/?bap_guid=7b34baa7-ad93-4255-a7a9-630dde5a1872,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/corolla/1852/120/6d239b88069b06daa3c81f79ad7ee156bb1cf9e5899687cefbf97201ffaaabe0.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",32/41
Hybrid LE,"$23,825",https://www.toyota.com/configurator/build/step/model/year/2025/series/corolla/model/1882/?bap_guid=7b34baa7-ad93-4255-a7a9-630dde5a1872,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/corolla/1882/339/0863254b2f06494e7315daad5b4989b53a55163f0935ee98cf6de6ac18a57e89.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",53/46
SE,"$24,765",https://www.toyota.com/configurator/build/step/model/year/2025/series/corolla/model/1864/?bap_guid=7b34baa7-ad93-4255-a7a9-630dde5a1872,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/corolla/1864/694/43169deeb9982ab6407eb66bbcbbb3dde3163ad9239540fad1fc87f588c19d7f.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",31/40
Hybrid SE,"$26,265",https://www.toyota.com/configurator/build/step/model/year/2025/series/corolla/model/1886/?bap_guid=7b34baa7-ad93-4255-a7a9-630dde5a1872,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/corolla/1886/347/f20c548bf16803cef4064ecd1f8dc8200c7e93a1d214a7b635d068418229621b.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",50/43
FX,"$26,650",https://www.toyota.com/configurator/build/step/model/year/2025/series/corolla/model/1870/?bap_guid=7b34baa7-ad93-4255-a7a9-630dde5a1872,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/corolla/1870/441/bc6a03f9e964598b3da805bc01fbdd66e4925c77e27b7e4b78f8eda91db0d96f.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",31/39
XSE,"$28,040",https://www.toyota.com/configurator/build/step/model/year/2025/series/corolla/model/1866/?bap_guid=7b34baa7-ad93-4255-a7a9-630dde5a1872,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/corolla/1866/922/07287512f0dcb2bc2318eec1013ad629acc5fd96017143f3c561ffbb41d3e280.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",31/38
Hybrid XLE,"$28,190",https://www.toyota.com/configurator/build/step/model/year/2025/series/corolla/model/1892/?bap_guid=7b34baa7-ad93-4255-a7a9-630dde5a1872,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/corolla/1892/736/795c5af874147dd76b3e391c5d5f2e353a395fbf990ccb7e5eefa0a7c4794223.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",53/46
